_id: 57c82964fbff50645890826e
SMARTS: [C:2]-[OH;+0:1].[OH;+0:3]-[C:4]-[C:5](-[OH;+0:8])-[C:6]-[OH;+0:7]>>O=C-[O;H0;+0:1]-[C:2].O=C-[O;H0;+0:3]-[C:4]-[C:5](-[C:6]-[O;H0;+0:7]-C=O)-[O;H0;+0:8]-C=O
number of examples: 1898
EFG Index	Name	SMARTS	Fraction of examples with co-existing group
172	Sulfenic acid amides	[#6&!$([CX3]=[SX1,OX1,NX2])][Sv2X2][NX3]([#6&!$([CX3]=[OX1,SX1,NX2])])[#6&!$([CX3]=[OX1,SX1,NX2])]	0.0
173	Thiols	[#6&!$([CX3]=[OX1,SX1,N,C])&!$(C#N)][Sv2H1]	0.00105374077977
174	Alkylthiols	[C&!$([CX3]=[OX1,SX1,N,C])&!$(C#N)][Sv2H1]	0.000526870389884
175	Thiophenols	c[Sv2H1]	0.000526870389884
176	Phosphoric acid derivatives	[OX1]=[Pv5X4]([H,!#6!$([SX2])])([H,!#6!$([SX2])])[H,!#6!$([SX2])]	0.00842992623815
177	Phosphoric acids	[OX1]=[Pv5X4]([OH1])([O])[O]	0.00579557428872
178	Phosphoric acid esters	[OX1]=[Pv5X4]([OX2][#6])([!#6!$([SX2])])[!#6!$([SX2])]	0.00737618545838
179	Phosphoric acid halides	[OX1]=[Pv5X4]([F,Cl,Br,I])([!#6!$([SX2])])[!#6!$([SX2])]	0.0
180	Phosphoric acid amides	[OX1]=[Pv5X4]([NX3])([!#6!$([SX2])])[!#6!$([SX2])]	0.00105374077977
181	Thiophosphoric acid derivatives	[$([SX1]=[Pv5X4]([H,!#6])([H,!#6])[H,!#6]),$([OX1]=[Pv5X4]([SX2])([H,!#6])[H,!#6])]	0.000526870389884
182	Thiophosphoric acids	[$([SX1]=[Pv5X4]([OH1,SH1])([O,S])[O,S]),$([OX1]=[Pv5X4]([SH1])([O,S])[O,S])]	0.000526870389884
183	Thiophosphoric acid esters	[$([SX1]=[Pv5X4]([OX2,SX2][#6])([!#6])[!#6]),$([OX1]=[Pv5X4]([SX2][#6])([!#6])[!#6])]	0.0
184	Thiophosphoric acid halides	[$([SX1]=[Pv5X4]([F,Cl,Br,I])([!#6])[!#6]),$([OX1]=[Pv5X4]([F,Cl,Br,I])([SX2,SH1])[!#6])]	0.0
185	Thiophosphoric acid amides	[$([SX1]=[Pv5X4]([NX3])([!#6])[!#6]),$([OX1]=[Pv5X4]([NX3])([SX2,SH1])[!#6])]	0.0
186	Phosphonic acid derivatives	[OX1]=[Pv5X4]([#6])([!#6])[!#6]	0.00105374077977
187	Phosphonic acids	[OX1]=[Pv5X4]([#6])([OH1])O	0.0
188	Phosphonic acid esters	[OX1]=[Pv5X4]([#6])([OX2][#6])[!#6]	0.00105374077977
189	Phosphines	[Pv3X3]([#6])([#6])[#6]	0.0
190	Phosphinoxides	[Pv5X4](=[OX1])([#6])([#6])[#6]	0.0
191	Boronic acid derivatives	[Bv3X3]([#6])([!#6])[!#6]	0.0
192	Boronic acids	[BX3]([#6])([OH1,SH1])[O,S]	0.0
193	Boronic acid esters	[BX3]([#6])([OX2][#6])[H,!#6]	0.0
194	Alkynes	[CX2]#[CX2]	0.0031612223393
195	Aromatic compounds	[a!R0]	0.825605900948
196	Arenes	c1ccccc1	0.743940990516
197	Heterocyclic compounds	[*R]~[*R&!#6]~[*R]	0.602212855638
198	Aromatic heterocyclic compounds	[a!#6!R0]	0.437302423604
199	alpha-Aminoacids	[OH1][CX3](=[OX1])[CX4]([#1,#6])([#1,#6])[NH2,$([NH1]([#6])[#6])&!$([NH1](CC(=O)[OH1])[CX3]=[OX1,SX1])]	0.0
200	alpha-Hydroxyacids	[OH1][CX3](=[OX1])[CX4]([OH1])[#1,#6]	0.0
201	1,2-Diamines	[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2,C])])([#1,#6&!$([CX3]=[OX1,SX1,NX2,C])])[CX4][CX4][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2,C])])([#1,#6&!$([CX3]=[OX1,SX1,NX2,C])])	0.0
202	1,2-Dithiols	[CX4]([SH1])([#1,#6])([#1,#6])[CX4]([SH1])([#1,#6])([#1,#6])	0.0
203	1,2-Aminothiols	[SH1][CX4][CX4][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2,C])])([#1,#6&!$([CX3]=[OX1,SX1,NX2,C])])	0.0
204	alpha-Oxoacids	[OH1][CX3](=[OX1])[CX3](=[OX1])[#1,#6]	0.0
205	alpha, beta-Unsaturated carboxylic acids	[OH1][CX3](=[OX1])[CX3]=[CX3]	0.0
206	Dithiophenols	[$(c([SH1])c([SH1])),$(c([SH1])[aR1]c([SH1])),$(c1([SH1])aac([SH1])aa1)]	0.0
207	Aminophenols	[$(c([OH1])c[NX3]([#1,#6])[#1,#6]),$(c([OH1])[aR1]c[NX3]([#1,#6])[#1,#6]),$(c1([OH1])aac([NX3]([#1,#6])[#1,#6])aa1)]	0.0
208	Aminothiophenols	[$(c([SH1])c[NX3]([#1,#6])[#1,#6]),$(c([SH1])[aR1]c[NX3]([#1,#6])[#1,#6]),$(c1([SH1])aac([NX3]([#1,#6])[#1,#6])aa1)]	0.0
209	Aryl halides	a[F,Cl,Br,I]	0.110642781876
210	Alkyl halides	[CX4][F,Cl,Br,I] AND NOT [$([CX4]([F,Cl,Br,I])[CX3]=[CX3]),$([CX4]([F,Cl,Br,I])[CX2]#[CX2]),$([CX4]([F,Cl,Br,I])a)]	0.0368809272919
211	Primary amines	[NX3H2][c,CX4&!$([CX4]([NH2])[O,N,S,P])]	0.0168598524763
212	Secondary amines	[NX3H1]([c,CX4&!$([CX4]([NX3H1])[O,S,N,P])])[c,CX4&!$([CX4]([NX3H1])[O,S,N,P])]	0.00684931506849
213	Tertiary amines	[NX3]([c,CX4&!$([CX4]([NX3])[O,S,N,P])])([c,CX4&!$([CX4]([NX3])[O,S,N,P])])[c,CX4&!$([CX4]([NX3])[O,S,N,P])]	0.0295047418335
214	Thiocarbonic acid esters	[$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[SX1])[OX2,SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])]),$([#6&!$([CX3]=[OX1,SX1,NX2])][SX2][CX3](=[OX1])[OX2,SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])]),$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[OX1])[SH1])]	0.0
215	Acid anhydrides	[#6X3](=[OX1])[#8X2][#6X3](=[OX1])	0.000526870389884
216	Conjugated alkadienes (1,3-alkadienes)	[CX3]=[CX3][CX3]=[CX3]	0.00790305584826
217	Unconjugated alkadienes (1,4-alkadienes)	[CX3]=[CX3][CX4][CX3]=[CX3]	0.0200210748156
218	Vinyl halides	[F,Cl,Br,I][CX3]=[CX3]	0.0
219	Gem-trihalides	[CX4]([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I]) AND NOT [CX4]([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I])	0.0310853530032
220	Alkynyl halides	[F,Cl,Br,I][CX2]#[CX2]	0.0
221	Benzyl halides	a[CX4][F,Cl,Br,I]	0.0142255005269
222	Benzyl fluorides	a[CX4]F	0.0110642781876
223	Benzyl chlorides	a[CX4]Cl	0.0031612223393
224	Benzyl bromides	a[CX4]Br	0.0
225	Benzyl iodides	a[CX4]I	0.0
226	Alkali metals	[#3,#11,#19,#37,#55,#87]	0.00421496311907
227	Alkaline earth metals	[#4,#12,#20,#38,#56,#88]	0.0
228	Transition metals	[#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#72,#73,#74,#75,#76,#77,#78,#79,#80,#104,#105,#106,#107,#108,#109,#110,#111,#112]	0.0
229	Lanthanoids	[#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71]	0.0
230	Actinoids	[#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100,#101,#102,#103]	0.0
231	Post-transition metals	[#13,#31,#49,#50,#81,#82,#83,#113,#114,#115,#116]	0.0
232	Metalloids	[#5,#14,#32,#33,#51,#52,#84]	0.0158061116965
233	Nonmetals	[#1,#6,#7,#8,#15,#16,#34,#9,#17,#35,#53,#85,#117,#2,#10,#18,#36,#54,#86,#118]	1.0
234	Halogens	[#9,#17,#35,#53,#85,#117]	0.160168598525
235	Noble gases	[#2,#10,#18,#36,#54,#86,#118]	0.0
236	Chalcogens (oxygen group)	[#8,#16,#34,#52,#84,#116]	0.988935721812
237	Pnictogens (nitrogen group)	[#7,#15,#33,#51,#83]	0.574288724974
238	Tetragens (carbon group)	[#6,#14,#32,#50,#8,#114]	1.0
239	Thioenolethers	[CX3]([#1,#6])([#1,#6])=[CX3]([SX2][#6&!$([CX3]([OX2])=[OX1,SX1,NX2,C])])[#1,#6]	0.00158061116965
240	Thioenols	[CX3]([#1,#6])([#1,#6])=[CX3]([SH1])[#1,#6]	0.0
241	Enethiodiols	[CX3]([#1,#6])([SH1])=[CX3]([#1,#6])([SH1])	0.0
242	Alkynyl alcohols	[CX2]#[CX2][OH1]	0.0
243	Alkynyl thiols	[CX2]#[CX2][SH1]	0.0
244	Quinones	[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]	0.0131717597471
245	Thioquinones	[$([#6X3]1=,:[#6X3]-,:[#6X3](=[SX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1,SX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]	0.0
246	Three-membered heterocycles (LS)	[!#6!#1]1~*~*~1	0.00684931506849
247	Three-membered heterocycles with one heteroatom (LS)	[!#6!#1]1~[#6]~[#6]~1	0.00421496311907
248	Saturated three-membered heterocycles with one heteroatom (LS)	[!#6!#1]1-[#6]-[#6]-1	0.00421496311907
249	Unsaturated three-membered heterocycles with one heteroatom (LS)	[$([!#1!#6]1~[#6]=[#6]~1),$([!#1!#6]1=[#6]~[#6]~1)]	0.0
250	Three-membered heterocycles with two heteroatoms (LS)	[!#6!#1]1~[!#6!#1]~[#6]~1	0.00263435194942
251	Saturated three-membered heterocycles with two heteroatoms (LS)	[!#6!#1]1-[!#6!#1]-[#6]-1	0.0
252	Unsaturated three-membered heterocycles with two heteroatoms (LS)	[$([!#1!#6]1=[!#1!#6]~[#6]~1),$([!#1!#6]1~[!#6!#1]=[#6]~1)]	0.00263435194942
253	Three-membered heterocycles with three heteroatoms (LS)	[!#6!#1]1~[!#6!#1]~[!#6!#1]~1	0.0
254	Saturated three-membered heterocycles with three heteroatoms (LS)	[!#6!#1]1-[!#6!#1]-[!#6!#1]-1	0.0
255	Unsaturated three-membered heterocycles with three heteroatoms (LS)	[!#1!#6]1~[!#1!#6]=[!#1!#6]~1	0.0
256	Three-membered heterocycles (HS)	[!#6!#1;R1]1~[*R1]~[*R1]~1	0.00474183350896
257	Three-membered heterocycles with one heteroatom (HS)	[!#6!#1;R1]1~[#6&R1]~[#6&R1]~1	0.00210748155954
258	Saturated three-membered heterocycles with one heteroatom (HS)	[!#6!#1;R1]1-[#6&R1]-[#6&R1]-1	0.00210748155954
259	Aziridines (HS)	[#7R1]1-[#6R1]-[#6R1]-1	0.0
260	Oxiranes (HS)	[#8R1]1-[#6R1]-[#6R1]-1	0.00210748155954
261	Thiiranes (HS)	[#16X2R1]1-[#6R1]-[#6R1]-1	0.0
262	Unsaturated three-membered heterocycles with one heteroatom (HS)	[$([!#1!#6;R1]1~[#6R1]=[#6R1]~1),$([!#1!#6;R1]1=[#6R1]~[#6R1]~1)]	0.0
263	Azirines (HS)	[$([#7R1]1-[#6R1]=[#6R1]-1),$([#7R1]1=[#6R1]-[#6R1]-1)]	0.0
264	1H-Azirines (HS)	[#7R1]1-[#6R1]=[#6R1]-1	0.0
265	2H-Azirines (HS)	[#7R1]1=[#6R1]-[#6R1]-1	0.0
266	Oxirenes (HS)	[#8R1]1-[#6R1]=[#6R1]-1	0.0
267	Thiirenes (HS)	[#16X2R1]1-[#6R1]=[#6R1]-1	0.0
268	Three-membered heterocycles with two heteroatoms (HS)	[!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]~1	0.00263435194942
269	Saturated three-membered heterocycles with two heteroatoms (HS)	[!#6!#1;R1]1-[!#6!#1;R1]-[#6R1]-1	0.0
270	Diaziridines (HS)	[#7R1]1-[#7R1]-[#6R1]-1	0.0
271	Dioxiranes (HS)	[#8R1]1-[#8R1]-[#6R1]-1	0.0
272	Oxaziridines (HS)	[#8R1]1-[#7R1]-[#6R1]-1	0.0
273	Thiaziridines (HS)	[#16X2R1]1-[#7R1]-[#6R1]-1	0.0
274	Unsaturated three-membered heterocycles with two heteroatoms (HS)	[$([!#1!#6;R1]1=[!#1!#6;R1]~[#6R1]~1),$([!#1!#6;R1]1~[!#6!#1;R1]=[#6R1]~1)]	0.00263435194942
275	1H-Diazirenes (HS)	[#7R1]1-[#7R1]=[#6R1]-1	0.0
276	3H-Diazirenes (HS)	[#7R1]1=[#7R1]-[#6R1]-1	0.00263435194942
277	Oxazirenes (HS)	[#7R1]1=[#6R1]-[#8R1]-1	0.0
278	Thiazerenes (HS)	[#7R1]1=[#6R1]-[#16X2R1]-1	0.0
279	Three-membered heterocycles with three heteroatoms (HS)	[!#6!#1;R1]1~[!#6!#1;R1]~[!#6!#1;R1]~1	0.0
280	Saturated three-membered heterocycles with three heteroatoms (HS)	[!#6!#1;R1]1-[!#6!#1;R1]-[!#6!#1;R1]-1	0.0
281	Triaziridines (HS)	[#7R1]1-[#7R1]-[#7R1]-1	0.0
282	Trioxiranes (HS)	[#8R1]1-[#8R1]-[#8R1]-1	0.0
283	Trithiiranes (HS)	[#16X2R1]1-[#16X2R1]-[#16X2R1]1	0.0
284	Oxadiaziridines (HS)	[#8R1]1-[#7R1]-[#7R1]1	0.0
285	Dioxaziridines (HS)	[#8R1]1-[#8R1]-[#7R1]1	0.0
286	Thiodiaziridines (HS)	[#16X2R1]1-[#7R1]-[#7R1]1	0.0
287	Dithiaziridines (HS)	[#16X2R1]1-[#16X2R1]-[#7R1]1	0.0
288	Unsaturated three-membered heterocycles with three heteroatoms (HS)	[!#1!#6;R1]1-[!#6!#1;R1]=[!#6!#1;R1]1	0.0
289	1H-Triazirene (HS)	[#7R1]1-[#7R1]=[#7R1]1	0.0
290	Oxadiazirenes (HS)	[#7R1]1=[#7R1]-[#8R1]1	0.0
291	Thiodiazirenes (HS)	[#7R1]1=[#7R1]-[#16X2R1]1	0.0
292	Four-membered heterocycles with two heteroatoms (LS)	[$([!#6!#1]1~[!#6!#1]~[#6]~[#6]~1),$([!#6!#1]1~[#6]~[!#6!#1]~[#6]~1)]	0.0
293	Saturated four-membered heterocycles with two heteroatoms (LS)	[$([!#6!#1]1-[!#6!#1]-[#6]-[#6]-1),$([!#6!#1]1-[#6]-[!#6!#1]-[#6]-1)]	0.0
294	Unsaturated four-membered heterocycles with two heteroatoms (LS)	[$([!#6!#1]1=[!#6!#1]~[#6]~[#6]~1),$([!#6!#1]1~[!#6!#1]=[#6]~[#6]~1),$([!#6!#1]1~[!#6!#1]~[#6]=[#6]~1),$([!#6!#1]1=[#6]~[!#6!#1]~[#6]~1)]	0.0
295	Four-membered heterocycles with three heteroatoms (LS)	[!#6!#1]1~[!#6!#1]~[!#6!#1]~[#6]~1	0.0
296	Saturated four-membered heterocycles with three heteroatoms (LS)	[!#6!#1]1-[!#6!#1]-[!#6!#1]-[#6]-1	0.0
297	Unsaturated four-membered heterocycles with three heteroatoms (LS)	[$([!#6!#1]1=[!#6!#1]~[!#6!#1]~[#6]~1),$([!#6!#1]1~[!#6!#1]~[!#6!#1]=[#6]~1)]	0.0
298	Four-membered heterocycles with four heteroatoms (LS)	[!#6!#1]1~[!#6!#1]~[!#6!#1]~[!#6!#1]~1	0.0
299	Saturated four-membered heterocycles with four heteroatoms (LS)	[!#6!#1]1-[!#6!#1]-[!#6!#1]-[!#6!#1]-1	0.0
300	Unsaturated four-membered heterocycles with four heteroatoms (LS)	[!#6!#1]1=[!#6!#1]~[!#6!#1]~[!#6!#1]~1	0.0
301	Four-membered heterocycles (HS)	[!#6!#1;R1]1~[*R1]~[*R1]~[*R1]~1	0.00526870389884
302	Four-membered heterocycles with one heteroatom (HS)	[!#6!#1;R1]1~[#6R1]~[#6R1]~[#6R1]~1	0.00526870389884
303	Saturated four-membered heterocycles with one heteroatom (HS)	[!#6!#1;R1]1-[#6R1]-[#6R1]-[#6R1]-1	0.00526870389884
304	Azetidines (HS)	[#7R1]1-[#6R1]-[#6R1]-[#6R1]-1	0.00526870389884
305	Oxetanes (HS)	[#8R1]1-[#6R1]-[#6R1]-[#6R1]-1	0.0
306	Thietanes (HS)	[#16X2R1]1-[#6R1]-[#6R1]-[#6R1]-1	0.0
307	Unsaturated four-membered heterocycles with one heteroatom (HS)	[$([!#6!#1;R1]1=[#6R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[#6R1]=[#6R1]~[#6R1]~1)]	0.0
308	Azetines (HS)	[$([#7R1]1=[#6R1]-[#6R1]-[#6R1]-1),$([#7R1]1-[#6R1]=[#6R1]-[#6R1]-1)]	0.0
309	1-Azetines (HS)	[#7R1]1=[#6R1]-[#6R1]-[#6R1]-1	0.0
310	2-Azetines (HS)	[#7R1]1-[#6R1]=[#6R1]-[#6R1]-1	0.0
311	Azetes (HS)	[#7R1]1=[#6R1][#6R1]=[#6R1]1	0.0
312	Oxetenes (HS)	[#8R1]1[#6R1]=[#6R1][#6R1]1	0.0
313	Thietenes (HS)	[#16X2R1]1[#6R1]=[#6R1][#6R1]1	0.0
314	Four-membered heterocycles with two heteroatoms (HS)	[$([!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[#6R1]~[!#6!#1;R1]~[#6R1]~1)]	0.0
315	Saturated four-membered heterocycles with two heteroatoms (HS)	[$([!#6!#1;R1]1-[!#6!#1;R1]-[#6R1]-[#6R1]-1),$([!#6!#1;R1]1-[#6R1]-[!#6!#1;R1]-[#6R1]-1)]	0.0
316	Diazetidines (HS)	[$([NR1]1[CR1][CR1][NR1]1),$([NR1]1[CR1][NR1][CR1]1)]	0.0
317	1,2-Diazetidines (HS)	[NR1]1[CR1][CR1][NR1]1	0.0
318	1,3-Diazetidines (HS)	[NR1]1[CR1][NR1][CR1]1	0.0
319	Dioxetanes (HS)	[$([OR1]1[OR1][CR1][CR1]1),$([OR1]1[CR1][OR1][CR1]1)]	0.0
320	1,2-Dioxetanes (HS)	[OR1]1[OR1][CR1][CR1]1	0.0
321	1,3-Dioxetanes (HS)	[OR1]1[CR1][OR1][CR1]1	0.0
322	Dithietanes (HS)	[$([SX2R1]1[SX2R1][CR1][CR1]1),$([SX2R1]1[CR1][SX2R1][CR1]1)]	0.0
323	1,2-Dithietanes (HS)	[SX2R1]1[SX2R1][CR1][CR1]1	0.0
324	1,3-Dithietanes (HS)	[SX2R1]1[CR1][SX2R1][CR1]1	0.0
325	Unsaturated four-membered heterocycles with two heteroatoms (HS)	[$([!#6!#1;R1]1=[!#6!#1;R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[!#6!#1;R1]=[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]=[#6R1]~1),$([!#6!#1;R1]1=[#6R1]~[!#6!#1;R1]~[#6R1]~1)]	0.0
326	Diazetines (HS)	[$([#7]1=,:[#7]-,:[#6]-,=,:[#6]-,:1),$([#7]1-,:[#7]=,:[#6]-,:[#6]-,=,:1),$([#7]1-,:[#7]-,:[#6]=,:[#6]-,=,:1),$([#7]1=,:[#6]-,:[#7]-,=,:[#6]-,:1)]	0.0
327	Dioxetenes (HS)	[#8R1]1-,:[#8R1]-,:[#6R1]=,:[#6R1]-,:1	0.0
328	Dithietenes (HS)	[#16R1]1-,:[#16R1]-,:[#6R1]=,:[#6R1]-,:1	0.0
329	Four-membered heterocycles with one heteroatom (LS)	[!#6!#1]1~[#6]~[#6]~[#6]~1	0.00526870389884
330	Saturated four-membered heterocycles with one heteroatom (LS)	[!#6!#1]1-[#6]-[#6]-[#6]-1	0.00526870389884
331	Unsaturated four-membered heterocycles with one heteroatom (LS)	[$([!#6!#1]1=[#6]~[#6]~[#6]~1),$([!#6!#1]1~[#6]=[#6]~[#6]~1)]	0.0
332	Diazirenes (HS)	[$([#7R1]1-[#7R1]=[#6R1]-1),$([#7R1]1=[#7R1]-[#6R1]-1)]	0.00263435194942
333	Unsaturated three-membered heterocycles with two heteroatoms (LS)	[$([!#1!#6]1=[!#1!#6]-[#6]1),$([!#1!#6]1-[!#6!#1]=[#6]1)]	0.00263435194942
334	Four-membered heterocycles (LS)	[!#6!#1]1~*~*~*~1	0.00526870389884
335	Five-membered heterocycles (LS)	[!#6!#1]1~*~*~*~*~1	0.297681770285
336	Five-membered heterocycles with one heteroatom (LS)	[!#6!#1]1~[#6]~[#6]~[#6]~[#6]~1	0.155426765016
337	Saturated five-membered heterocycles with one heteroatom (LS)	[!#6!#1]1CCCC1	0.0168598524763
338	Unsaturated five-membered heterocycles with one heteroatom (LS)	[$([!#6!#1]1=CCCC1),$([!#6!#1]1C=CCC1),$([!#6!#1]1CC=CC1),$([!#6!#1]1=CC=CC1);!$(n1cccc1)]	0.0115911485774
339	Aromatic five-membered heterocycles with one heteroatom (LS)	[a!#6]1cccc1	0.108008429926
340	Five-membered heterocycles with two heteroatoms (LS)	[$([!#6!#1]1~[!#6!#1]~[#6]~[#6]~[#6]~1),$([!#6!#1]1~[#6]~[!#6!#1]~[#6]~[#6]~1)]	0.107481559536
341	Saturated five-membered heterocycles with two heteroatoms (LS)	[$([!#6!#1]1[!#6!#1]CCC1),$([!#6!#1]1C[!#6!#1]CC1)]	0.0231822971549
342	Unsaturated five-membered heterocycles with two heteroatoms (LS)	[$([!#6!#1]1=[!#6!#1]C-,=CC1),$([!#6!#1]1[!#6!#1]=CCC1),$([!#6!#1]1[!#6!#1]C=CC1),$([!#6!#1]1=C[!#6!#1]-,=CC1),$([!#6!#1]1C[!#6!#1]CC=1),$([!#6!#1]1C[!#6!#1]C=C1)]	0.00263435194942
343	Aromatic five-membered heterocycles with two heteroatoms (LS)	[$([a!#6]1[a!#6]ccc1),$([a!#6]1c[a!#6]cc1)]	0.0706006322445
344	Five-membered heterocycles with three heteroatoms (LS)	[$([!#6!#1]1~[!#6!#1]~[!#6!#1]~[#6]~[#6]~1),$([!#6!#1]1~[!#6!#1]~[#6]~[!#6!#1]~[#6]~1)]	0.0653319283456
345	Saturated five-membered heterocycles with three heteroatoms (LS)	[$([!#6!#1]1[!#6!#1][!#6!#1]CC1),$([!#6!#1]1[!#6!#1]C[!#6!#1]C1)]	0.0
346	Unsaturated five-membered heterocycles with three heteroatoms (LS)	[$([!#6!#1]1=[!#6!#1][!#6!#1]-,=CC1),$([!#6!#1]1[!#6!#1][!#6!#1]CC=1),$([!#6!#1]1[!#6!#1][!#6!#1]C=C1),$([!#6!#1]1=[!#6!#1]C[!#6!#1]-,=C1),$([!#6!#1]1[!#6!#1]C[!#6!#1]C=1),$([!#6!#1]1[!#6!#1]C[!#6!#1]=C1)]	0.00210748155954
347	Aromatic five-membered heterocycles with three heteroatoms (LS)	[$([a!#6]1[a!#6][a!#6]cc1),$([a!#6]1[a!#6]c[a!#6]c1)]	0.0632244467861
348	Five-membered heterocycles with four heteroatoms (LS)	[!#6!#1]1~[!#6!#1]~[!#6!#1]~[!#6!#1]~[#6]~1	0.00158061116965
349	Saturated five-membered heterocycles with four heteroatoms (LS)	[!#6!#1]1-[!#6!#1]-[!#6!#1]-[!#6!#1]C1	0.0
350	Unsaturated five-membered heterocycles with four heteroatoms (LS)	[$([!#6!#1]1=[!#6!#1][!#6!#1]-,=[!#6!#1][#6]1),$([!#6!#1]1[!#6!#1]=[!#6!#1][!#6!#1][#6]1),$([!#6!#1]1[!#6!#1][!#6!#1][!#6!#1][#6]=1)]	0.0
351	Aromatic five-membered heterocycles with four heteroatoms (LS)	[a!#6]1[a!#6][a!#6][a!#6]c1	0.00158061116965
352	Five-membered heterocycles with five heteroatoms (LS)	[!#6!#1]1~[!#6!#1]~[!#6!#1]~[!#6!#1]~[!#6!#1]~1	0.0
353	Saturated five-membered heterocycles with five heteroatoms (LS)	[!#6!#1]1-[!#6!#1]-[!#6!#1]-[!#6!#1]-[!#6!#1]-1	0.0
354	Unsaturated five-membered heterocycles with five heteroatoms (LS)	[!#6!#1]1=[!#6!#1]-[!#6!#1]-[!#6!#1]-[!#6!#1]-1	0.0
355	Aromatic five-membered heterocycles with five heteroatoms (LS)	[a!#6]1[a!#6][a!#6][a!#6][a!#6]1	0.0
356	Five-membered heterocycles (HS)	[!#6!#1;R1]1~[*R1]~[*R1]~[*R1]~[*R1]~1	0.152792413066
357	Five-membered heterocycles with one heteroatom (HS)	[!#6!#1;R1]1~[#6R1]~[#6R1]~[#6R1]~[#6R1]~1	0.0484720758693
358	Saturated five-membered heterocycles with one heteroatom (HS)	[!#6!#1;R1]1[CR1][CR1][CR1][CR1]1	0.00474183350896
359	Pyrrolidines (HS)	[NR1]1[CR1][CR1][CR1][CR1]1	0.00105374077977
360	Tetrahydrofurans (HS)	[OR1]1[CR1][CR1][CR1][CR1]1	0.00368809272919
361	Tetrahydrothiophenes (HS)	[SR1]1[CR1][CR1][CR1][CR1]1	0.0
362	Unsaturated five-membered heterocycles with one heteroatom (HS)	[$([!#6!#1;R1]1=[CR1][CR1][CR1][CR1]1),$([!#6!#1;R1]1[CR1]=[CR1][CR1][CR1]1),$([!#6!#1;R1]1[CR1][CR1]=[CR1][CR1]1),$([!#6!#1;R1]1=[CR1][CR1]=[CR1][CR1]1);!$(n1cccc1)]	0.00948366701791
363	Pyrrolines (HS)	[$([NR1]1=[CR1][CR1][CR1][CR1]1),$([NR1]1[CR1]=[CR1][CR1][CR1]1),$([NR1]1[CR1][CR1]=[CR1][CR1]1)]	0.0031612223393
364	1-Pyrrolines (HS)	[NR1]1=[CR1][CR1][CR1][CR1]1	0.0
365	2-Pyrrolines (HS)	[NR1]1[CR1]=[CR1][CR1][CR1]1	0.0
366	3-Pyrrolines (HS)	[NR1]1[CR1][CR1]=[CR1][CR1]1	0.0031612223393
367	Dihydrofurans (HS)	[$([OR1]1[CR1]=[CR1][CR1][CR1]1),$([OR1]1[CR1][CR1]=[CR1][CR1]1)]	0.00632244467861
368	2,3-Dihydrofurans (HS)	[OR1]1[CR1]=[CR1][CR1][CR1]1	0.00105374077977
369	2,5-Dihydrofurans (HS)	[OR1]1[CR1][CR1]=[CR1][CR1]1	0.00526870389884
370	Dihydrothiophenes (HS)	[$([SR1]1[CR1]=[CR1][CR1][CR1]1),$([SR1]1[CR1][CR1]=[CR1][CR1]1)]	0.0
371	2,3-Dihydrothiophenes (HS)	[SR1]1[CR1]=[CR1][CR1][CR1]1	0.0
372	2,5-Dihydrothiophenes (HS)	[SR1]1[CR1][CR1]=[CR1][CR1]1	0.0
373	Aromatic five-membered heterocycles with one heteroatom (HS)	[a!#6;R1]1[cR1][cR1][cR1][cR1]1	0.0342465753425
374	Pyrroles (HS)	[nR1]1[cR1][cR1][cR1][cR1]1	0.00210748155954
375	Furans (HS)	[oR1]1[cR1][cR1][cR1][cR1]1	0.0184404636459
